pmcid,outcome,intervention,comparator,outcome_type,intervention_events,intervention_group_size,comparator_events,comparator_group_size,intervention_mean,intervention_standard_deviation,comparator_mean,comparator_standard_deviation,intervention_rate,comparator_rate,source_file
3276927,frequency of occurrence in reversible inguinal hernia,post-Yoga,pre-Yoga,continuous,,19.0,,19.0,2.0,,12.0,,,,3276927_zeroshot.jsonl
3276927,"symptoms of hernia such as heaviness, fullness and pain",post-Yoga,pre-Yoga,continuous,,19.0,,19.0,,,,,,,3276927_zeroshot.jsonl
3276927,pain in reversible inguinal hernia,post-Yoga,pre-Yoga,continuous,,19.0,,19.0,1.0,,6.0,,,,3276927_zeroshot.jsonl
3276927,aggravating factors in reversible inguinal hernia,post-Yoga,pre-Yoga,continuous,,19.0,,19.0,1.0,,4.0,,,,3276927_zeroshot.jsonl
3278655,maximum total point motion (MTPM),The trabecular metal tibial monoblock component (TM),cemented component.,continuous,,27.0,,18.0,0.98,,0.79,,,,3278655_zeroshot.jsonl
3278655,subsidence,The trabecular metal tibial monoblock component (TM),cemented component.,continuous,,27.0,,18.0,-0.38,0.37,-0.04,0.11,,,3278655_zeroshot.jsonl
3278655,"The proportion of ""at risk"" components at 5 years",The trabecular metal tibial monoblock component (TM),cemented component.,binary,0.0,27.0,2.0,18.0,,,,,,,3278655_zeroshot.jsonl
3309311,differences in the disc herniation,"adults with acute axial severe LBP who could not sit up or stand up for several days, but had not experienced previous back-related diseases or trauma (group A)","adults who had been involved in a minor traffic accident, and had mild symptoms but not limited mobility (group B)",binary,20.0,23.0,6.0,19.0,,,,,,,3309311_zeroshot.jsonl
3309311,differences in the LDD,"adults with acute axial severe LBP who could not sit up or stand up for several days, but had not experienced previous back-related diseases or trauma (group A)","adults who had been involved in a minor traffic accident, and had mild symptoms but not limited mobility (group B)",binary,23.0,23.0,9.0,19.0,,,,,,,3309311_zeroshot.jsonl
3309311,differences in the annulus tear,"adults with acute axial severe LBP who could not sit up or stand up for several days, but had not experienced previous back-related diseases or trauma (group A)","adults who had been involved in a minor traffic accident, and had mild symptoms but not limited mobility (group B)",binary,23.0,23.0,5.0,19.0,,,,,,,3309311_zeroshot.jsonl
3309311,differences in the HIZ,"adults with acute axial severe LBP who could not sit up or stand up for several days, but had not experienced previous back-related diseases or trauma (group A)","adults who had been involved in a minor traffic accident, and had mild symptoms but not limited mobility (group B)",binary,14.0,23.0,4.0,19.0,,,,,,,3309311_zeroshot.jsonl
3309311,The proportion of HIZ incidence,"adults with acute axial severe LBP who could not sit up or stand up for several days, but had not experienced previous back-related diseases or trauma (group A)",adults with LBP with radicular pain (group C),binary,14.0,23.0,3.0,18.0,,,,,,,3309311_zeroshot.jsonl
3309311,The proportion of HIZ incidence,"adults with acute axial severe LBP who could not sit up or stand up for several days, but had not experienced previous back-related diseases or trauma (group A)","adults who had been involved in a minor traffic accident, and had mild symptoms but not limited mobility (group B)",binary,14.0,23.0,4.0,19.0,,,,,,,3309311_zeroshot.jsonl
3321528,wrist flexion,electrical muscle stimulation (EMS),control,continuous,,24.0,,28.0,,,,,,,3321528_zeroshot.jsonl
3321528,hip flexion,electrical muscle stimulation (EMS),control,continuous,,24.0,,28.0,,,,,,,3321528_zeroshot.jsonl
3321528,knee extension,electrical muscle stimulation (EMS),control,continuous,,24.0,,28.0,,,,,,,3321528_zeroshot.jsonl
3321528,ankle dorsiflexion,electrical muscle stimulation (EMS),control,continuous,,24.0,,28.0,,,,,,,3321528_zeroshot.jsonl
3321528,handgrip strength,Intensive Care Unit acquired weakness (ICU-AW),without an ICU-AW diagnosis,continuous,,7.0,,14.0,6.6,4.4,23.4,8.9,,,3321528_zeroshot.jsonl
3321528,the total MRC score of the legs,electrical muscle stimulation (EMS),control,continuous,,24.0,,28.0,,,,,,,3321528_zeroshot.jsonl
3475525,Correct selection of the healthier product,MTL+caloric intake group,No label group,continuous,,90.0,,99.0,73.3,6.9,67.8,10.3,,,3475525_zeroshot.jsonl
3475525,Correct selection of the healthier product,MTL+caloric intake group,TL+SNL group,continuous,,90.0,,95.0,73.3,6.9,65.8,7.3,,,3475525_zeroshot.jsonl
3475525,Correct selection of the healthier product,choices group,No label group,continuous,,98.0,,99.0,72.5,13.2,67.8,10.3,,,3475525_zeroshot.jsonl
3475525,Correct selection of the healthier product,choices group,TL+SNL group,continuous,,98.0,,95.0,72.5,13.2,65.8,7.3,,,3475525_zeroshot.jsonl
3475525,Taste perception,MTL group,No label group,continuous,,98.0,,99.0,5.6,1.4,5.8,1.4,,,3475525_zeroshot.jsonl
3475525,Taste perception,MTL+caloric intake group,No label group,continuous,,90.0,,99.0,5.4,1.4,5.8,1.4,,,3475525_zeroshot.jsonl
3475525,Taste perception,MTL group,choices group,continuous,,98.0,,98.0,5.6,1.4,5.3,1.5,,,3475525_zeroshot.jsonl
3475525,Taste perception,MTL+caloric intake group,choices group,continuous,,90.0,,98.0,5.4,1.4,5.3,1.5,,,3475525_zeroshot.jsonl
3475525,intent of purchase,MTL group,No label group,continuous,,98.0,,99.0,3.8,1.4,4.1,1.5,,,3475525_zeroshot.jsonl
3475525,intent of purchase,MTL+caloric intake group,No label group,continuous,,90.0,,99.0,3.6,1.5,4.1,1.5,,,3475525_zeroshot.jsonl
3475525,intent of purchase,MTL group,choices group,continuous,,98.0,,98.0,3.8,1.4,4.1,1.7,,,3475525_zeroshot.jsonl
3475525,intent of purchase,MTL+caloric intake group,choices group,continuous,,90.0,,98.0,3.6,1.5,4.1,1.7,,,3475525_zeroshot.jsonl
3475525,Scores on the saturated fat quiz,MTL group,No label group,continuous,,98.0,,99.0,90.7,20.4,33.6,16.3,,,3475525_zeroshot.jsonl
3475525,Scores on the saturated fat quiz,MTL+caloric intake group,No label group,continuous,,90.0,,99.0,92.3,15.1,33.6,16.3,,,3475525_zeroshot.jsonl
3475525,Scores on the saturated fat quiz,MTL group,choices group,continuous,,98.0,,98.0,90.7,20.4,35.7,15.9,,,3475525_zeroshot.jsonl
3475525,Scores on the saturated fat quiz,MTL+caloric intake group,choices group,continuous,,90.0,,98.0,92.3,15.1,35.7,15.9,,,3475525_zeroshot.jsonl
3475525,Scores on sugar quiz,MTL group,No label group,continuous,,98.0,,99.0,90.0,20.7,47.2,19.6,,,3475525_zeroshot.jsonl
3475525,Scores on sugar quiz,MTL+caloric intake group,No label group,continuous,,90.0,,99.0,92.6,15.5,47.2,19.6,,,3475525_zeroshot.jsonl
