pmcid,filename,gold_fields,pred_fields,tp,fp,fn,tn,precision,recall,f1,per_field_metrics
2836833,2836833_zeroshot.jsonl,8,12,0,8,8,16,0.0,0.0,0.0,"{'intervention_group_size': {'tp': 0, 'tn': 0, 'fp': 0, 'fn': 4, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'comparator_group_size': {'tp': 0, 'tn': 0, 'fp': 0, 'fn': 4, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'intervention_events': {'tp': 0, 'tn': 4, 'fp': 0, 'fn': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'comparator_events': {'tp': 0, 'tn': 4, 'fp': 0, 'fn': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'intervention_mean': {'tp': 0, 'tn': 2, 'fp': 2, 'fn': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'comparator_mean': {'tp': 0, 'tn': 2, 'fp': 2, 'fn': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'intervention_standard_deviation': {'tp': 0, 'tn': 2, 'fp': 2, 'fn': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'comparator_standard_deviation': {'tp': 0, 'tn': 2, 'fp': 2, 'fn': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}"
2952311,2952311_zeroshot.jsonl,22,36,13,14,9,12,0.48148148148148145,0.5909090909090909,0.5306122448979591,"{'intervention_group_size': {'tp': 6, 'tn': 0, 'fp': 0, 'fn': 0, 'precision': 1.0, 'recall': 1.0, 'f1': 1.0}, 'comparator_group_size': {'tp': 6, 'tn': 0, 'fp': 0, 'fn': 0, 'precision': 1.0, 'recall': 1.0, 'f1': 1.0}, 'intervention_events': {'tp': 0, 'tn': 6, 'fp': 0, 'fn': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'comparator_events': {'tp': 0, 'tn': 6, 'fp': 0, 'fn': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'intervention_mean': {'tp': 0, 'tn': 0, 'fp': 1, 'fn': 5, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'comparator_mean': {'tp': 1, 'tn': 0, 'fp': 1, 'fn': 4, 'precision': 0.5, 'recall': 0.2, 'f1': 0.28571428571428575}, 'intervention_standard_deviation': {'tp': 0, 'tn': 0, 'fp': 6, 'fn': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'comparator_standard_deviation': {'tp': 0, 'tn': 0, 'fp': 6, 'fn': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}"
2972614,2972614_zeroshot.jsonl,54,52,48,0,6,26,1.0,0.8888888888888888,0.9411764705882353,"{'intervention_group_size': {'tp': 9, 'tn': 0, 'fp': 0, 'fn': 1, 'precision': 1.0, 'recall': 0.9, 'f1': 0.9473684210526316}, 'comparator_group_size': {'tp': 9, 'tn': 0, 'fp': 0, 'fn': 1, 'precision': 1.0, 'recall': 0.9, 'f1': 0.9473684210526316}, 'intervention_events': {'tp': 1, 'tn': 9, 'fp': 0, 'fn': 0, 'precision': 1.0, 'recall': 1.0, 'f1': 1.0}, 'comparator_events': {'tp': 1, 'tn': 9, 'fp': 0, 'fn': 0, 'precision': 1.0, 'recall': 1.0, 'f1': 1.0}, 'intervention_mean': {'tp': 7, 'tn': 2, 'fp': 0, 'fn': 1, 'precision': 1.0, 'recall': 0.875, 'f1': 0.9333333333333333}, 'comparator_mean': {'tp': 7, 'tn': 2, 'fp': 0, 'fn': 1, 'precision': 1.0, 'recall': 0.875, 'f1': 0.9333333333333333}, 'intervention_standard_deviation': {'tp': 7, 'tn': 2, 'fp': 0, 'fn': 1, 'precision': 1.0, 'recall': 0.875, 'f1': 0.9333333333333333}, 'comparator_standard_deviation': {'tp': 7, 'tn': 2, 'fp': 0, 'fn': 1, 'precision': 1.0, 'recall': 0.875, 'f1': 0.9333333333333333}}"
2974815,2974815_zeroshot.jsonl,10,12,10,2,0,12,0.8333333333333334,1.0,0.9090909090909091,"{'intervention_group_size': {'tp': 3, 'tn': 0, 'fp': 0, 'fn': 0, 'precision': 1.0, 'recall': 1.0, 'f1': 1.0}, 'comparator_group_size': {'tp': 3, 'tn': 0, 'fp': 0, 'fn': 0, 'precision': 1.0, 'recall': 1.0, 'f1': 1.0}, 'intervention_events': {'tp': 2, 'tn': 0, 'fp': 1, 'fn': 0, 'precision': 0.6666666666666666, 'recall': 1.0, 'f1': 0.8}, 'comparator_events': {'tp': 2, 'tn': 0, 'fp': 1, 'fn': 0, 'precision': 0.6666666666666666, 'recall': 1.0, 'f1': 0.8}, 'intervention_mean': {'tp': 0, 'tn': 3, 'fp': 0, 'fn': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'comparator_mean': {'tp': 0, 'tn': 3, 'fp': 0, 'fn': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'intervention_standard_deviation': {'tp': 0, 'tn': 3, 'fp': 0, 'fn': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'comparator_standard_deviation': {'tp': 0, 'tn': 3, 'fp': 0, 'fn': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}"
3003523,3003523_zeroshot.jsonl,32,32,12,2,20,14,0.8571428571428571,0.375,0.5217391304347825,"{'intervention_group_size': {'tp': 6, 'tn': 0, 'fp': 0, 'fn': 0, 'precision': 1.0, 'recall': 1.0, 'f1': 1.0}, 'comparator_group_size': {'tp': 6, 'tn': 0, 'fp': 0, 'fn': 0, 'precision': 1.0, 'recall': 1.0, 'f1': 1.0}, 'intervention_events': {'tp': 0, 'tn': 6, 'fp': 0, 'fn': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'comparator_events': {'tp': 0, 'tn': 6, 'fp': 0, 'fn': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'intervention_mean': {'tp': 0, 'tn': 0, 'fp': 1, 'fn': 5, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'comparator_mean': {'tp': 0, 'tn': 0, 'fp': 1, 'fn': 5, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'intervention_standard_deviation': {'tp': 0, 'tn': 1, 'fp': 0, 'fn': 5, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'comparator_standard_deviation': {'tp': 0, 'tn': 1, 'fp': 0, 'fn': 5, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}"
3136370,3136370_zeroshot.jsonl,24,8,0,0,24,8,0.0,0.0,0.0,"{'intervention_group_size': {'tp': 0, 'tn': 0, 'fp': 0, 'fn': 4, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'comparator_group_size': {'tp': 0, 'tn': 0, 'fp': 0, 'fn': 4, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'intervention_events': {'tp': 0, 'tn': 4, 'fp': 0, 'fn': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'comparator_events': {'tp': 0, 'tn': 4, 'fp': 0, 'fn': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'intervention_mean': {'tp': 0, 'tn': 0, 'fp': 0, 'fn': 4, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'comparator_mean': {'tp': 0, 'tn': 0, 'fp': 0, 'fn': 4, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'intervention_standard_deviation': {'tp': 0, 'tn': 0, 'fp': 0, 'fn': 4, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'comparator_standard_deviation': {'tp': 0, 'tn': 0, 'fp': 0, 'fn': 4, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}"
3169777,3169777_zeroshot.jsonl,62,60,53,0,9,58,1.0,0.8548387096774194,0.9217391304347826,"{'intervention_group_size': {'tp': 15, 'tn': 0, 'fp': 0, 'fn': 0, 'precision': 1.0, 'recall': 1.0, 'f1': 1.0}, 'comparator_group_size': {'tp': 15, 'tn': 0, 'fp': 0, 'fn': 0, 'precision': 1.0, 'recall': 1.0, 'f1': 1.0}, 'intervention_events': {'tp': 12, 'tn': 1, 'fp': 0, 'fn': 2, 'precision': 1.0, 'recall': 0.8571428571428571, 'f1': 0.923076923076923}, 'comparator_events': {'tp': 11, 'tn': 1, 'fp': 0, 'fn': 3, 'precision': 1.0, 'recall': 0.7857142857142857, 'f1': 0.88}, 'intervention_mean': {'tp': 0, 'tn': 14, 'fp': 0, 'fn': 1, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'comparator_mean': {'tp': 0, 'tn': 14, 'fp': 0, 'fn': 1, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'intervention_standard_deviation': {'tp': 0, 'tn': 14, 'fp': 0, 'fn': 1, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'comparator_standard_deviation': {'tp': 0, 'tn': 14, 'fp': 0, 'fn': 1, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}"
3195393,3195393_zeroshot.jsonl,22,20,18,0,4,10,1.0,0.8181818181818182,0.9,"{'intervention_group_size': {'tp': 3, 'tn': 0, 'fp': 0, 'fn': 1, 'precision': 1.0, 'recall': 0.75, 'f1': 0.8571428571428571}, 'comparator_group_size': {'tp': 3, 'tn': 0, 'fp': 0, 'fn': 1, 'precision': 1.0, 'recall': 0.75, 'f1': 0.8571428571428571}, 'intervention_events': {'tp': 0, 'tn': 4, 'fp': 0, 'fn': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'comparator_events': {'tp': 0, 'tn': 4, 'fp': 0, 'fn': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'intervention_mean': {'tp': 4, 'tn': 0, 'fp': 0, 'fn': 0, 'precision': 1.0, 'recall': 1.0, 'f1': 1.0}, 'comparator_mean': {'tp': 4, 'tn': 0, 'fp': 0, 'fn': 0, 'precision': 1.0, 'recall': 1.0, 'f1': 1.0}, 'intervention_standard_deviation': {'tp': 2, 'tn': 1, 'fp': 0, 'fn': 1, 'precision': 1.0, 'recall': 0.6666666666666666, 'f1': 0.8}, 'comparator_standard_deviation': {'tp': 2, 'tn': 1, 'fp': 0, 'fn': 1, 'precision': 1.0, 'recall': 0.6666666666666666, 'f1': 0.8}}"
3214395,3214395_zeroshot.jsonl,16,26,14,10,2,22,0.5833333333333334,0.875,0.7000000000000001,"{'intervention_group_size': {'tp': 6, 'tn': 0, 'fp': 0, 'fn': 0, 'precision': 1.0, 'recall': 1.0, 'f1': 1.0}, 'comparator_group_size': {'tp': 6, 'tn': 0, 'fp': 0, 'fn': 0, 'precision': 1.0, 'recall': 1.0, 'f1': 1.0}, 'intervention_events': {'tp': 0, 'tn': 3, 'fp': 1, 'fn': 2, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'comparator_events': {'tp': 2, 'tn': 3, 'fp': 1, 'fn': 0, 'precision': 0.6666666666666666, 'recall': 1.0, 'f1': 0.8}, 'intervention_mean': {'tp': 0, 'tn': 4, 'fp': 2, 'fn': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'comparator_mean': {'tp': 0, 'tn': 4, 'fp': 2, 'fn': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'intervention_standard_deviation': {'tp': 0, 'tn': 4, 'fp': 2, 'fn': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'comparator_standard_deviation': {'tp': 0, 'tn': 4, 'fp': 2, 'fn': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}"
3263860,3263860_zeroshot.jsonl,20,22,14,4,6,16,0.7777777777777778,0.7,0.7368421052631577,"{'intervention_group_size': {'tp': 2, 'tn': 0, 'fp': 0, 'fn': 3, 'precision': 1.0, 'recall': 0.4, 'f1': 0.5714285714285715}, 'comparator_group_size': {'tp': 2, 'tn': 0, 'fp': 0, 'fn': 3, 'precision': 1.0, 'recall': 0.4, 'f1': 0.5714285714285715}, 'intervention_events': {'tp': 3, 'tn': 2, 'fp': 0, 'fn': 0, 'precision': 1.0, 'recall': 1.0, 'f1': 1.0}, 'comparator_events': {'tp': 3, 'tn': 2, 'fp': 0, 'fn': 0, 'precision': 1.0, 'recall': 1.0, 'f1': 1.0}, 'intervention_mean': {'tp': 1, 'tn': 3, 'fp': 1, 'fn': 0, 'precision': 0.5, 'recall': 1.0, 'f1': 0.6666666666666666}, 'comparator_mean': {'tp': 1, 'tn': 3, 'fp': 1, 'fn': 0, 'precision': 0.5, 'recall': 1.0, 'f1': 0.6666666666666666}, 'intervention_standard_deviation': {'tp': 1, 'tn': 3, 'fp': 1, 'fn': 0, 'precision': 0.5, 'recall': 1.0, 'f1': 0.6666666666666666}, 'comparator_standard_deviation': {'tp': 1, 'tn': 3, 'fp': 1, 'fn': 0, 'precision': 0.5, 'recall': 1.0, 'f1': 0.6666666666666666}}"
3276927,3276927_zeroshot.jsonl,12,20,12,8,0,28,0.6,1.0,0.7499999999999999,"{'intervention_group_size': {'tp': 6, 'tn': 0, 'fp': 0, 'fn': 0, 'precision': 1.0, 'recall': 1.0, 'f1': 1.0}, 'comparator_group_size': {'tp': 6, 'tn': 0, 'fp': 0, 'fn': 0, 'precision': 1.0, 'recall': 1.0, 'f1': 1.0}, 'intervention_events': {'tp': 0, 'tn': 6, 'fp': 0, 'fn': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'comparator_events': {'tp': 0, 'tn': 6, 'fp': 0, 'fn': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'intervention_mean': {'tp': 0, 'tn': 2, 'fp': 4, 'fn': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'comparator_mean': {'tp': 0, 'tn': 2, 'fp': 4, 'fn': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'intervention_standard_deviation': {'tp': 0, 'tn': 6, 'fp': 0, 'fn': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'comparator_standard_deviation': {'tp': 0, 'tn': 6, 'fp': 0, 'fn': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}"
